nro;nro_f;uniorcam;janeiro;fevereiro;marco;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro;meta1bim;meta2bim;meta3bim;meta4bim;meta5bim;meta6bim;cp;rv
12180131000000000000;1.2.1.8.01.3.1.00.00.00;1201;0,00;0,00;0,00;0,00;55,93;309,84;309,84;309,84;0,00;309,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;50
12400000000000000000;1.2.4.0.00.0.0.00.00.00;201;15.085,79;14.305,08;18.651,08;18.502,43;17.155,48;17.469,48;15.018,58;15.181,07;13.888,05;13.223,57;0,00;0,00;24.937,63;28.458,97;29.327,32;26.796,40;25.012,31;22.885,93;0;0
12400010000000000000;1.2.4.0.00.1.0.00.00.00;201;15.085,79;14.305,08;18.651,08;18.502,43;17.155,48;17.469,48;15.018,58;15.181,07;13.888,05;13.223,57;0,00;0,00;24.937,63;28.458,97;29.327,32;26.796,40;25.012,31;22.885,93;0;0
12400011000000000000;1.2.4.0.00.1.1.00.00.00;201;15.085,79;14.305,08;18.651,08;18.502,43;17.155,48;17.469,48;15.018,58;15.181,07;13.888,05;13.223,57;0,00;0,00;24.937,63;28.458,97;29.327,32;26.796,40;25.012,31;22.885,93;0;1
13000000000000000000;1.3.0.0.00.0.0.00.00.00;201;517.989,86;119.592,66;134.845,31;234.067,94;488.377,40;509.903,30;251.471,69;91.048,11;431.025,12;467.401,75;0,00;0,00;407.480,50;407.480,50;407.542,51;407.808,72;409.617,29;407.480,60;0;0
13100000000000000000;1.3.1.0.00.0.0.00.00.00;201;14.696,86;14.122,35;14.920,00;14.920,00;18.064,34;14.920,00;15.977,58;17.470,98;15.422,03;14.920,00;0,00;0,00;31.365,02;31.365,02;31.365,02;31.365,02;31.365,02;31.365,04;0;0
13100100000000000000;1.3.1.0.01.0.0.00.00.00;201;14.696,86;14.122,35;14.920,00;14.920,00;18.064,34;14.920,00;15.977,58;17.470,98;15.422,03;14.920,00;0,00;0,00;31.365,02;31.365,02;31.365,02;31.365,02;31.365,02;31.365,04;0;0
13100110000000000000;1.3.1.0.01.1.0.00.00.00;201;14.696,86;14.122,35;14.920,00;14.920,00;18.064,34;14.920,00;15.977,58;17.470,98;15.422,03;14.920,00;0,00;0,00;31.365,02;31.365,02;31.365,02;31.365,02;31.365,02;31.365,04;0;0
13100111000000000000;1.3.1.0.01.1.1.00.00.00;201;14.517,00;13.942,00;14.920,00;14.920,00;16.953,00;14.920,00;15.614,00;17.002,00;14.920,00;14.920,00;0,00;0,00;31.365,02;31.365,02;31.365,02;31.365,02;31.365,02;31.365,04;0;1
13100112000000000000;1.3.1.0.01.1.2.00.00.00;201;0,00;0,00;0,00;0,00;304,46;0,00;104,10;206,47;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
